Work Steps,Actions,CATEGORY 
EMG PARKING BRAKE LOW PRESSURE EICAS,". 

DEFERRED PER MEL 32-44-05-1, PLACARD APPLIED, ACCUMULATOR CHARGE VERIFIED NORMAL / R&R ACCUMULATOR LOW PRESSURE SWITCH IAW EMB 145 AMM 32-44-05 OPS CHECK SAT PLACARD REMOVED. MEL CLEARED",PARKING BRAKE
BLEED 1 PUSHBUTTON LIGHT INOP / LOTO DEVICE INSTALLED,". 

R&R BLEED 1 PUSH BUTTON LIGHT BULBS IAW EMB 145 AMM 20-13-04-000-801-A. OPS CHECK SAT / LOTO REMOVED AND STOWED AS REQUIRED",COCKPIT LIGHT/PUSHBUTTON
GPU AVAILABLE LIGHT INOP / LOTO DEVICE INSTALLED,". 

GPU RELAMP GPU AVAILABLE LIGHT PUSH BUTTON SWITCH IAW EMB 145 MM 20-13-04 / LOTO REMOVED AS REQIRED",COCKPIT LIGHT/PUSHBUTTON
LANDING GEAR SELECTOR BACKLIGHTING INOP / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 33-10-00-1, PLACARD APPLIED / R/R LANDING GEAR SELECTOR SWITCH IAW EMB 145 AMM 20-13-10 MEL CLEARED PLACARD REMOVED OPS CHECK SAT / REMOVED AND STOWED AS REQUIRED",COCKPIT LIGHT/PUSHBUTTON
POWERPLANT OVERHEAD PANEL BACKLIGHT INOP,". 

DEFERRED PER MEL 33-10-00-1. PLACARD APPLIED / WORKING MEL 33-10-00-1 R/R POWERPLANT OVERHEAD PANEL IAW EMB 145 AMM 76-12-04-04. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED.",COCKPIT LIGHT/PUSHBUTTON
WET COMPASS BACKLIGHT INTERMITTENT / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 34-25-01-1. PLACARD APPLIED / FOUND CONNECTION ON THE MAGNETIC COMPASS TO ELECTRICAL CONNECTOR TO BE LOOSE CAUSING LIGHT TO INTERMITT COMPASS REQUIRES R&R NO PARTS IN STOCK MEL CONTINUES. / WORKING MEL 34-25-01-1 R/R ELECTRICAL CONNECTION PLUG IAW EMB 145 SWPM 20-30-00. OPS CHECK SAT. PLACARD REMOVED. MEL CLEARED / LOTO REMOVED AND STOWED AS REQUIRED",COMPASS
EXIT SIGN BY 2A FRAME BROKEN OFF / LOTO DEVICE INSTALLED,". 

REMOVED AND STOWED LOTO DEVICE / REINSTALLED EXIT SIGN BY 2A IAW AMM 33-50-14. OPS CHECK SAT. NO DEFECTS NOTED.",EMERGENCY LIGHT
COCKPIT FA CALL BUTTON LIGHT INOP,". 

DEFERRED PER MEL 33-10-00-1. PLACARD APPLIED / PERFORMED OPS CHECK ON CP F/A CALL BUTTON IAW 23-31-00. OPS CHECK GOOD THIS CLEARS MEL PLACARD REMOVED.",FA CALL SYS
READING LIGHT AT 20C INOP / LP 50363 LOTO DEVICE INSTALLED,". 

RELAMPED 20C READING LIGHT IAW EMB145 AMM 33-11-03. / REMOVED AND STOWED LOTO AS REQUIRED",INTERIOR LIGHT
READING LIGHTS AT 7A AND 18A / LOTO DEVICE INSTALLED / WORKING MEL 25-90-02-1 READING LIGHT AT 18A INOP,". 

REMOVED AND REPLACED READING LIGHT ON 7A. READING LIGHT 18A DEFERRED PER NEF 25-90-02-1. PLACARD APPLIED / R&R READING LIGHT ASSY IAW EMB 145 AMM 33-25-02. TROUBLESHOT READING LIGHT AT ROW 18A. FWD 2 AMP FUSE ON PCB FOUND BLOWN. PARTS NOT IN STOCK NEF CONTINUES. / 68569, PLCRD REMOVED R&R PRINTED CIRCUIT ASSY ABOVE 18A PSU IAW EMB 145 AMM 33-25-04. OPS CHECK GOOD. THIS CLEARS MEL / REMOVED AND STOWED AS REQUIRED / WORKING MEL 25-90-02-1 READING LIGHT AT 18A INOP TROUBLESHOT READING LIGHT @ 18A TO READING LIGHT ASSY IAW EMB 145 DIM 33-25-00. NPIS AT TYS PART #NEEDED 2LA007278-30 MEL REMAINS OPEN",INTERIOR LIGHT
NO SMOKING LIGHT AT 18CD INOP. / LOTO DEVICE INSTALLED. / MEL REQUIRES VERIFICATION,". 

REMOVED AND STOWED LOTO DEVICE / DEFERRED PER MEL 33-23-00-2. PLACARD INSTALLED. P/A OPERATES NORMALLY / LP 51874 R&R NO SMOKING LIGHT AT 18CD IRT EMB 145 AMM 33-23-02 OPS CHECK SAT MEL CLEARED PLACARD REMOVED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED / MEL VERIFIED AS REQUIRED",INTERIOR LIGHT
STERILE LIGHT SWITCH BROKEN,". 

DEFERRED PER MEL 33-21-02-1. PLACARD APPLIED. LOTO INSTALLED / LP 50378 REPLACED LITE SWITCH OPS CHECK GOOD PER EMB 145 AMM 33.32.08. PLACARD REMOVED AND MEL CLEARED LOTO REMOVED AND STOWED",INTERIOR LIGHT
RA2 C/B POPPED AFTER APU START. / LOTO DEVICE INSTALLED.,". 

RESET RA2 C/B REF E145AMM 34-31-00 OPS CK SAT / REMOVED AND STOWED LOTO AS REQUIRED",RADIO ALT
FA DEMO O2 MASK BROKEN / LOTO DEVICE INSTALLED,". 

DEFERRED PER NEF 25-92-04-1. PLACARD APPLIED / DEFERRED PER NEF 25-92-04-1. PLACARD APPLIED / R&R DEMO MASK AS REQUIRED. NEF CLEARED, PLACARD REMOVED. / REMOVED AND STOWED LOTO AS REQUIRED",DEMO EQUIP
LH WING TO FUSELAGE UPPER TRAILING EDGE SCREWS LOOSE (4 EA) / LOTO DEVICE INSTALLED,". 

RESECURED LEFT WING TO FUSELAGE SCREWS IRT EMB 145 AMM 20-10-07 / REMOVED AND STOWED LOTO",MISSING/LOOSE HARDWARE
ABONORMAL ENGINE START ON ENGINE 2. NO ITT RISE WITH FUEL FLOW. (FIRST ENGINE WAS ON FADEC A),". 

ABONORMAL ENGINE START ON ENGINE 2. NO ITT RISE WITH FUEL FLOW. PER MAINTENANCE CONTROL ATTEMPTED ANOTHER ENGINE START. ENGINE START SUCCESSFUL WITH NO FAULTS. (SECOND START WAS ON FADEC B)",ENGINE STARTING
E1 OIL QTY AT 8 QTS. / LOTO DEVICE INSTALLED.,". 

SERVICED E1 WITH 2.75 QRTS IAW EMB 145 AMM 12-12-01 / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",OIL SERVICE
"REF LP 50328, WO 101889457. PIC SIGNATURE MISSING FOR CREW DEFERRAL.",". 

PER MX CONTROL, MEL CLEARED. FORM CA-16 FOR DISCREPANT PAPERWORK FILLED.",OTHER
15 PASSENGER BRIEF CARDS ARE MISSING. LOTO INSTALLED,". 

15 PASSENGER BRIEF CARDS ARE MISSING REPLACED 15 PAX BRIEFING CARDS AS REQUIRED. LOTO REMOVED AND STOWED",OTHER
CAPT YOKE PTT PLACARD NOT SECURE / LOTO DEVICE INSTALLED,". 

R&R CAPTAIN PTT PLACARD IAW EMB 145XR AMM 2012-01 / LOTO REMOVED AND STOWED",PLACARD
AP FAIL IN WAKE TURBULANCE ENCOUNTER,". 

RESET AUTOPILOT SYSTEM , OPS CHECK SAT, NO DEFECTS AT THIS TIME IAW EMB 145 AMM 22-11-00",AP/YD
AP FAIL ON EICAS,". 

PERFORMED RESET OF AUTO PILOT SYSTEM IAW EMB145 AMM 22-11-00 NO DEFECTS NOTED",AP/YD
CAS MESSAGE ON PFD / LOTO INSTALLED,". 

CAS MESSAGE RESET SYSTEM IAW EMB 145 MM 34-22-00, OPS CHECKED GOOD / LOTO REMOVED LOTO AS REQUIRED",DU/PFD/MFD
CD PLAYER INOP / LOTO INSTALLED,". 

DEFERED PER MEL 23-32-02-1 PLACARD INSTALLED / LP #87891 PERFORMED OPS CHECK IAW EMB 145 AMM 23-32-01. OPS CHECK SAT. NO DEFECTS FOUND / LOTO REMOVED AND STOWED AS REQ",CD PLAYER
FO`S MIC JACK UNRELIABLE,". 

MIC JACK RESECURED FO`S MIC JACK IAW EMB 145 MM 23-12-00",COMM
POOR CONNECTION ON CAPTAIN`S HEADSET JACK,". 

FOUND CONNECTOR LOOSE, RESECURED AND OPS CHECKED IAW EMB 145 AMM 23-51-00. OPS CHECK SAT.",COMM
AFT FA PA INOP / LOTO INSTALLED,". 

DEFERED PER MEL 23-31-03-1 PLACARD INSTALLED / R+R AFT FA HANDSET IAW EMB 145 AMM 23-31-03 OPS CHECK SAT. PLACARD REMOVED MEL CLEARED / LOTO REMOVED ASND STOWED AS REQ",PA/INTERPHONE
FA / CABIN CD PLAYER IS INOP / MEL VERIFICATION REQUIRED,". 

DEFERRED PRE RECORDED PASSENGER ANNOUNCEMENT SYSTEM PER MEL 23-32-02-1, PLACARD INSTALLED / FOUND AUDIO WIRE DISCONNECTED, RECONNECTED IN REF EMB145 XR 23-32-01. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED. / MEL VERIFICATION VRERIFIED MEL 23-32-02-1, PLACARD APPLIED",SCHEDULED
GEN 4 BRG FAIL / MEL IS EXPIRED. SINCE IT ONLY COMPLETED 1 FLIGHT THE MRB DATE 45342:15. CURRENT AIRCRAFT HOURS 45342:48. OVER BY 33 MINUTES / FOLLOW FIM 24-31-00-810-820-A. / PERFORM TI E145-2431-2021-002 GEN 4 BRG FAIL TROUBLESHOOTING FOR FURTHER INSTRUCTION. / SEND COMPLETED TI E145-2431-2021-002 GEN 4 BRG FAIL TROUBLESHOOTING TO ENGINEERINGSERVICE@COMMUTAIR.COM / CORRECTED MRB DATE,". 

DEFERED PER MEL 24-31-02-1 PLACARD INSTALLED / TROUBLESHOT IAW EMB 145 FIM 24-31-00-810-820-A. GOT TO SUBSTASK 817-002-A. SWAP GCU #4 AND #2 IAW EMB 145 AMM 24-31-02, OPS CHECK REQUIRED. / RETURNED #2 GCU TO ORIGIONAL POSITION THEN R&R #4 GCU IAW EMB 145 24-31-02. OPS CHECK REQUIRED. / PERFORMED MAIN GENERATION ADJ AND TEST TO STEP J (16)(B) TEST AT THIS POINT FAILED. GEN 4 BRG FAIL ADVISORY MSG CORRECTLY APPEARED ON EICAS. GEN 4 FAIL AND GCU 4 FAIL MSGS WERE NOT DISPLAYED ON MAINTENANCE PAGE. IAW EMB 145 AMM 24-31-00. FURTHER T/S REQUIRED / GEN 4 BRG FAIL C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED. / MEL IS EXPIRED. C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED. / EIE / EIE / C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED. / C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED. / C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED. / CORRECTED MRB DATE / CORRECTED MRB DATE C/W TI E145-2431-2021-002. NO FAULTS FOUND. SENT TO ENGINEERING SVCS. R&R DAU 2 IAW EMB 145 AMM 31-41-01. OPS CK GOOD. PLACARD REMOVED. MEL CLEARED.",MAIN GEN PROBLEM
WINDOW FRAME AT 11A FELL OUT. / LOTO INSTALLED,". 

FOUND FRAME TO BE CRACKED, SECURED WITH TAPE. DEFERRED PER NEF 25-90-15-1. PLACARD INSTALLED. / R&R 11A WINDOW REVEAL IAW EMB 145 AMM 25-23-09. PLACARD REMOVED. NEF CLEARED. / LOTO REMOVED AND STOWED AS REQUIRED.",CABIN INTERIOR
CAPTAIN`S AND CO-PILOT`S HEADREST NOT SECURED. / LOTO INSTALLED,". 

RESECURRED HEADRESTS AS REQUIRED / LOTO REMOVED AND STOWED",COCKPIT EQUIP/INTERIOR
C/A SEAT DOES NOT GO UP OR DOWN / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 25-11-01-1. PLACARD APPLIED, MANUAL ADJUSTMENT OPS CHECK SAT, C/B E7 PULLED AND COLLARED. / R+R CHAIR CABLE IAW ZODIAC CMM 25-11-71 OPS CHECK SAT. PLACARD REMOVED UNCOLLARD CB MEL CLEARED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",CREW SEAT
EIE,". 

EIE",EIE
"GALLEY CURTAIN RINGS BROKEN / LOTO INSTALLED / REF NEF 25-92-01-1, GALLEY CURTAIN RINGS BROKEN",". 

DEFERRED AS PER NEF 25-92-01-1, PLACARD APPLIED. / R/R CURTAIN ASSY IRW E145 AMM 25-27-07 PLACARD REMOVED, NEF CLOSED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED / REF NEF 25-92-01-1, GALLEY CURTAIN RINGS BROKEN INSPECTED AND FOUND SNAPS RIPPED FROM CURTAIN. REQUIRES CURTAIN ASSY. PN 7132152-503 NPIS AT TYS. NEF REMAINS OPEN.",GALLEY
LAV DOOR OFF TRACK / LOTO INSTALL INSTALLED LOTO,". 

RESECURE LAV DOOR E1456 AMM 25-40-03 OPS CHECK SAT / REMOVED AND STOWED AS REQ",LAV DOOR
OVERHEAD PANEL SCREW MISSING BY CAPTAIN`S CHART LIGHT,". 

DEFERRED PER NEF 25-93-04-1, PLACARD INSTALLED / FOUND NEEDED HARDWARE P/N MS51957-30 SCREW, WASHER P/N NAS1149CN632R. NEF CONTINUES. / WORKING NEF. SCREW INSTALLED IAW EMB 145 AMM 25-12-01. NEF CLEARED AND PLACARD REMOVED",MISSING/LOOSE HARDWARE
ROW 6 OVERHEAD BIN DOOR JAMMED WITH PAX BAG / LOTO INSTALLED,". 

REMOVED BAG. PUT DOOR BACK ON TRACK. OPS CHECK SAT. IAW E145 AMM 25-22-03. NO DAMAGE NOTED / REMOVED AND STOWED AS REQ",OVHD BIN
7A SEAT DOES NOT RECLINE,". 

FOUND RECLIINE CABLE TO BE DISCONNECTED, RECONNECTED CABLE IRT CMM 25-20-60. OPS TEST GOOD, OK FOR SVC.",PAX SEAT
ARMREST 24C BROKEN / LOTO INSTALLED,". 

DEFERED PER MEL 25-21-05-5 PLACARD INSTALLED ALL M PROCEEDURES C/W / PARTS ON ORDER / R/R ARMREST AT 24C IAW SAFRAN CMM 25-20-59. OPS CHECK SAT, MEL CLEARED, PLACARD REMOVED. / LOTO REMOMOVED AND STOWED AS REQ",PAX SEAT
SEAT 18A RECLINE BUTTON STUCK,". 

SEAT RESECURED 18A RECLINE BUTTON IAW EMB 145 VCMM 25-20-60",PAX SEAT
PTRIM F/O SW FAIL CAUTION MESSAGE / LOTO INSTALLED,". 

PERFORMED RESET OF PTRIM SWITCH, OPS CHECK SAT IAW EMB145 AMM 27-40-03-03 / REMOVED AND STOWED AS REQ",PITCH TRIM
PTRIM MAIN INOP ON EICAS,". 

RESET PITCH TRIM SYSTEM PER MX CONTROL IRT EMB 145 XR FIM 27-43-00-810-801-A. EICAS MESSAGE CLEARED, OPS CK SAT. NO DEFECTS NOTED.",PITCH TRIM
SPS 2 INOP ON EICAS DURING TAXI SPS1-2 INOP AFTER QRH / LOTO DEVICE INSTALLED,". 

R/R STALL PROTECTION PANEL IAW EMB 145 AMM 20-13-10. R/R RELAYS K0356 AND K0358 IAW EMB 145 AMM 20-13-02. OPS CHECK SAT. COULD NOT DUPLICATE FAULT. NO DEFECTS AT THIS TIME / LOTO REMOVED AND STOWED",SPS
FUEL PUMP 1B INOP / ENGINEERING REQUEST USING WM 28-21-50-03 CHECK FOR 28 VOLTS AT P1977 PIN A TO GROUND AND PIN C. IF NO POWER CHECK K0122 1B PUMP CONTACTOR. IF 28 VOLTS PRESENT AND CONTINUITY BETWEEN PIN C AND GROUND REPLACE PUMP.,". 

DEFERED PER MEL 28-21-01-1 PLACARD APPLIED C/B A2 PULLED AND COLLARD / R&R 1B FUEL PUMP IAW EMB 145 AMM 28-21-01. LEAK CHECK SAT, OPS CHECK FAILED. SLAVED IN NEW FUEL CTRL MOD, OPS CHECK FAILED. RETURNED A/C TO MEL CONFIG. FURTHER T/S REQUIRED. MEL CONTINUES. / R&R FUEL PUMP CONTACTOR 1B AND ELECTRICAL CONNECTOR IAW EMB 145 AMM 28-21-14, OPS CHECK SAT, C/B A2 RESET AND PLACARD PULLED. MEL CLEARED. / ENGINEERING REQUEST R&R FUEL PUMP CONTACTOR 1B AND ELECTRICAL CONNECTOR IAW EMB 145 AMM 28-21-14, OPS CHECK SAT, C/B A2 RESET AND PLACARD PULLED. MEL CLEARED.",FUEL PUMP
EICAS XFER ISO FAIL,". 

PER MX CONTROL RESET VENTRAL TANK TRANSFER PUMP, EICAS MESSAGE CLEARED, NO FAULTS NOTED.",FUEL TRANSFER
HYD SYS 2 ELEC PUMP NOT GENERATING PRESS IN AUTO/ON / LOTO INSTALLED,". 

FOLLOWED EMB145XR FIM 29-10-00 R/R FUSE F0154 IAW EMB145XR AMM 20-13-08 OPS CHECK SAT / LOTO REMOVED AND STOWED",HYD PUMP
HYDRAULIC 1 LOW QUANTITY AFTER LOWERING GEAR / LOTO INSTALLED / GEAR SWINGS REQUIRED FOR LEFT MAIN LANDING ACTUATOR GEAR LINE LEAK CK. GEAR PINS INSTALLED AND SAFETIED.,". 

RR LEFT MAIN LANDING GEAR ACTUATOR HYD LINE OPS AND LEAK CHECK GOOD. REQUIRES GEAR SWINGS IAW EMB 145 AMM 32-33-08 / REMOVED AND STOWED LOTO DEVICE. / GEAR SWINGS REQUIRED FOR LEFT MAIN LANDING ACTUATOR GEAR LINE LEAK CK COMPLIED WITH GEAR SWING, OPS AND LEAK CHECK GOOD, REF EMB 145 AMM 32-33-08. REMOVED AND STOWED GEAR PINS.",HYD SYS LOW/LEAK
ENG 1 A/I FAIL MSG,". 

PERFORMED OPERATIONAL TEST OF A/I SYSTEM IAW EMB145 AMM 30-00-00-5 NO DEFECTS NOTED",A/I PROBLEM-ENG
CLEAR ICE INOP 2 CLEAR ICE 2 ON EICAS. CLEAR ICE 2 ILLUMINATED,". 

CLEAR ICE INOP 2 CLEAR ICE 2 ON EICAS. CLEAR ICE 2 ILLUMINATED DEFERRED PER MEL 30-81-01-1 PLACARD APPLIED / LP 1006588 TROUBLESHOT CLAER ICE INOP, FOUND TO BE FAULTY SENSOR, SEE W/O 101894445. PER DOM MEL EXTENDED FOR 10 DAYS DUE TO INCUFFIECENT PARTS AVAILABLE. / LP 1006594 R&R CLEAR ICE 2 SENSOR NEW IRT EMB 145 AMM 30-80-03 OPS CHECK SAT AT THIS TIME, MEL CLEARED",CLEAR ICE DET
LEFT BRAKES ARE SQUEALING & GETTING HOT ON TAXI IN. / LOTO INSTALLED,". 

PERFRMED OPS CK IAW EMB 145MM 32-49-03 OPS CK GOOD / REMOVED AND STOWED LOTO AS REQUIRED",BRAKE GRABBING/DRAGGING
STEER INOP WHEN TURNING WITH RUDDER PEDALS WHEN MAKING A TURN WITH RUDDER STEER INOP ON EICAS / LOTO INSTALL INSTALLED LOTO,". 

PERFORMED ADJUSTMENT ON LOAD POT IRW E145 AMM 32-50-05 OPS CHECK SAT PERFORMED FUNTIONAL TEST OF STEERING SYSTEM IRW E145 AMM 32-50-00. NO DEFECTS NOTED AT THIS TIME / REMOVED AND STOWED LOTO AS REQ",NOSE WHEEL STEERING
STEERING PULLS RIGHT WITH TILLER ENGAGED / LOTO INSTALLED,". 

PERFORMED NOSE WHEEL STEERING ADJUSTMENT IAW EMB145MM 32-50-00 OPS CK GOOD / LOTO REMOVED AND STOWED AS REQUIRED",NOSE WHEEL STEERING
EXCEEDED AIRSPEED TO 280KIAS FOR 30 SEC ON CDL LIMITED TO 250 KIAS / LOTO DEVICE INSTALLED,". 

PERFORMED GVI OF MLG WHEELS, WING MLG BAYS, WTF FAIRING, MLG WHEEL DOORS, AND OTHER RELATED HINGES, LINKAGES AND SUPPORT STRUCTURES. NO DEFECTS NOTED. A/C RETURNED TO SERVICE PER EMB EMAIL. ENGINEERING APPROVED. VICTORIA SEGER A&P 3683077 / LOTO REMOVED AND STOWED AS REQUIRED VICTORIA SEGER A",SPECIAL INSPECTION
#4TIRE SHOWS CORD GEAR PINS INSTALLED / LOTO INSTALL INSTALLED LOTO,". 

#4TIRE SHOWS CORD R&R #4 MWA IN REF TO EMB 145 AMM 32-42-02 GEAR PINS REMOVED AND STOWED / LOTO INSTALL LOTO REMOVED",TIRE WORN
C/A SIDE LANDING LIGHT INOP / LOTO DEVICE INSTALLED,". 

DEFERRED PER MEL 33-41-00-1. PULLED AND COLLARED CB H17. PLACARD INSTALLED / OPS CHECK SAT R&R LH LANDING LIGHT AND CLAMP ASSY IAW EMB 145 AMM 33-41-02. OPS CHECK SAT. C/B RESET. PLACARD REMOVED. MEL CLEARED / LOTO REMOVED AND STOWED",EXTERIOR LIGHT
6D LIGHT COVER MISSING,". 

R&R LENS IAW EMB 145 AMM 33-25-02",INTERIOR LIGHT
"READING LIGHTS OUT AT SEATS 9C, 7D,",". 

DEFERRED PER NEF 25-90-02-1, PLACARDS APPLIED. / LP 67280 REPOSITIONED LAMPS AT 9C,7D,2A READING LIGHTS IAW EMB 145 AMM 33-25-02. THIS CLEARES NEF PLACARDS REMOVED.",INTERIOR LIGHT
SEAT 18C READING LIGHT INOP / LOTO INSTALLED,". 

LIGHT RELAMP 18C READING LITE IAW EMB 145 MM 33-11-03 / LOTO REMOVED LOTO AS REQUIRED",INTERIOR LIGHT
"SEAT 28 AND 18C, 11D READING LIGHTS INOP / LOTO INSTALL INSTALLED LOTO",". 

SEAT 28 AND 18C, 11D READING LIGHTS INOP REPLACED BAD READING LIGHTS 20A, 18C AND 11D IAW ERJ 145XR AMM 33-11-03. OPS CHECK SAT. / LOTO INSTALL LOTO REMOVED AND STOWED",INTERIOR LIGHT
"GPU PULLED EARLY, RED X`S SHOWING ON PFDS / LOTO DEVCE INSTALLED",". 

RESET #1 ADC IAW EMB 145 MM 24-15-00, OPS CHECKED GOOD / LOTO REMOVED LOTO AS REQUIRED",ADC PROBLEM
AHRS 1 EXC MOTION ON EICAS,". 

RESET AHRS SYSTEM PER MX CONTROL IRT EMB 145 XR FIM 34-21-00-810-808-A. AHRS 1-2 ALIGNED, AND EICAS MESSAGE CLEARED. NO FAULTS NOTED.",AHRS
LOC UNRELIABLE DURING ILS APPROACH 8R LOC BECAME UNRELIABLE FOLLOWING LOSS OF SIGNAL / LOTO INSTALL INSTALLED LOTO,". 

R/R BOTH VOR ANTENNAS IAW EMB 145 AMM 34-32-03. OPS CHECK SAT. NO DEFECTS AT THIS TIME / LOTO REMOVED AND STOWED",VOR/DME/LOC/ILS
ROW 19 CEILING PANEL HANGING DOWN / LOTO INSTALL INSTALLED LOTO,". 

RESECURED HEADLINER IAW EMB 145 AMM 25-22-04. NO DEFECTS NOTED. / LOTO REMOVED AND STOWED AS REQUIRED",CABIN INTERIOR
LAV DRAIN HANDLE LOOSE. / LOTO INSTALLED,". 

RESECURED LAV DRAIN HANDLE IRW EMB 145 38-32-06. NO FURTHER DEFECTS NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQ.",LAV PROBLEM
APU FAIL / LOTO INSTALL INSTALLED LOTO,". 

PERFORMED OPERATIONAL CHECK OF THE APU IAW EMB 145 MM 49-13-00, OPS CHECKED GOOD / REMOVED LOTO AS REQUIRED",APU FAIL
SCREWS LOOSE AND MISSING ON RT FUSELAGE LANDING GEAR / LOTO INSTALL INSTALLED LOTO,". 

SCREWS LOOSE AND MISSING ON RT FUSELAGE LANDING GEAR REPLACED MISSING SCREW & RESECURED LOOSE SCREW IRT EMB 145 AMM 20-10-07. / LOTO INSTALL REMOVED & STOWED LOTO AS REQ.",MISSING/LOOSE HARDWARE
"LEDGE COVER AT 3C, THE SCREWS ARE MISSING / LOTO INSTALLED",". 

DEFERRED PER NEF 25-90-30-1, PLACARD INSTALLED / LP 87085 INSTALLED SEAT 3C CARPET TRIM COVER IAW EMB 145 AMM 25-24-01-04. MEL CLEARED, PLACARD REMOVED. / LOTO REMOVED AND STOWED AS REQUIRED",MISSING/LOOSE HARDWARE
FLOOR PANEL AT COCKPIT ENTRY MISSING 2 SCREWS / LOTO INSTALL INSTALLED LOTO,". 

FLOOR PANEL AT COCKPIT ENTRY MISSING 2 SCREWS INSTALLED COCKPIT FLOOR PANEL SCREWS IRT EMB AMM 53-01-01 / LOTO INSTALL LOTO REMOVED AND STOWED",MISSING/LOOSE HARDWARE
SCREW MISSING #2 ENG PYLON MIDDLE PANEL / LOTO INSTALLED INSTALLED LOTO,". 

INSTALLED SCREW ON #2 ENGINE PYLON IAW EMB 145 AMM 54-51-02. NO FURTHER DEFECTS NOTED. / LOTO REMOVED AND STOWED AS REQIRED",MISSING/LOOSE HARDWARE
EIE / EIE,". 

EIE / EIE",EIE
BIRDSTRIKE UNDER FUSELAGE IN BETWEEN PACK INLETS,". 

CLEANED AREA AND PERFORMED INSPECTION IAW EMB 145 AMM 05-50-08. NO DAMAGE OR DEFECTS NOTED AT THIS TIME.",BIRDSTRIKE
NEED 1 NORMAL CHECKLIST FOR FO / LOTO INSTALL INSTALLED LOTO,". 

INSTALLED NORMAL CHECKLIST AS REQ / REMOVED AND STOWED LOTO IAW GMM",OTHER
CA`S PTT YOKE PLACARD NEEDS TO BE RESECURED.,". 

RESECURED CAPTAIN YOKE ATT PLACARD AS REQUIRED",PLACARD
ENG #1 7QTS IN FLIGHT,". 

SERVICED ENG #1 WITH 2QTS OF OIL IAW EMB 145 AMM 12-12-01. NO LEAKS NOTED",OIL SERVICE
UNDERFLOOR COCKPIT ACCESS DOOR OPEN / LOTO INSTALLED,". 

RESECURED UNDER COCKPIT ACCESS DOOR OPS GOOD REF TO EMB 145 M/M 52-72-00 / REMOVED AND STOWED LOTO",OTHER
GPU PUSHBUTTON LIGHT INOP / LOTO INSTALL INSTALLED LOTO,". 

VERIFIED NORMAL OPERATION GPU BUTTON HAS UNAVAILABLE STATUS ONLY. REF EMB 145 M/M 20-13-04 / REMOVED AND STOWED LOTO",COCKPIT LIGHT/PUSHBUTTON
PACK 2 BUTTON LIGHT INOP / LOTO INSTALLED,". 

R/R PACK 2 BUTTON LIGHT BULBS IAW EMB 145 AMM 20-13-04. OPS CHECK SAT NO FURTHER DEFECTS NOTED. GERARDO ONTIVEROS A&P 2819356 / LOTO DEVICE REMOVED AND STOWED AS REQUIRED GERARDO ONTIVEROS A",COCKPIT LIGHT/PUSHBUTTON
PACK 2 OVERHEAT AFTER LANDING WHEN SWITCHING TO APU BLEED. / LOTO INSTALLED,". 

TROUBLESHOT IAW EMB 145 FIM 21-51-00-810-804-A. FOLLOWED SUBTASK 817-002-A, DID NOT RECEIVE PACK 2 OVERHEAT MESSAGE ON EICAS. END OF TREOUBLESHOOTING. INSPECTED PACK 2 SYSTEM, NO DEFECTS NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQUIRED.",PACK TEMP
FO HEADSET JACKS NOT WORKING / LOTO INSTALL INSTALLED LOTO,". 

RESECURED FO JACK PANEL IN REF TO EMB 145 AMM 23-51-00 / LOTO REMOVED",COMM
CA`S SIDE PTT SWITCH ON YOKE IS LOOSE / LOTO INSTALLED,". 

CAPT PPT SWITCH TIGHTENED CAPT SIDE PTT SWITCH ON YOKE OPS GOOD REF TO EMB 145 MM 23-51-02 / LOTO REMOVED AND STOWED",COMM
